invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country
536366,22633,HAND WARMER UNION JACK,6,2010-12-01 08:28:00,1.85,17850,United Kingdom
536390,22968,ROSE COTTAGE KEEPSAKE BOX ,8,2010-12-01 10:19:00,8.50,17511,United Kingdom
536390,84030E,ENGLISH ROSE HOT WATER BOTTLE,24,2010-12-01 10:19:00,3.75,17511,United Kingdom
536393,22180,RETROSPOT LAMP,8,2010-12-01 10:37:00,9.95,13747,United Kingdom
536398,22111,SCOTTIE DOG HOT WATER BOTTLE,9,2010-12-01 10:52:00,4.95,13448,United Kingdom
536401,22451,SILK PURSE BABUSHKA RED,1,2010-12-01 11:21:00,3.35,15862,United Kingdom
536401,22549,PICTURE DOMINOES,1,2010-12-01 11:21:00,1.45,15862,United Kingdom
536401,82581,TOILET METAL SIGN,2,2010-12-01 11:21:00,0.55,15862,United Kingdom
536401,20963,APPLE BATH SPONGE,1,2010-12-01 11:21:00,1.25,15862,United Kingdom
536408,22371,AIRLINE BAG VINTAGE TOKYO 78,4,2010-12-01 11:41:00,4.25,14307,United Kingdom
536409,22197,SMALL POPCORN HOLDER,2,2010-12-01 11:45:00,0.85,17908,United Kingdom
536415,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,2010-12-01 11:57:00,2.95,12838,United Kingdom
536415,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,3,2010-12-01 11:57:00,1.65,12838,United Kingdom
536415,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,5,2010-12-01 11:57:00,2.95,12838,United Kingdom
536415,22899,CHILDREN'S APRON DOLLY GIRL ,2,2010-12-01 11:57:00,2.10,12838,United Kingdom
536437,22189,CREAM HEART CARD HOLDER,72,2010-12-01 12:12:00,3.39,13694,United Kingdom
536446,20774,GREEN FERN NOTEBOOK,2,2010-12-01 12:15:00,1.65,15983,United Kingdom
536446,16016,LARGE CHINESE STYLE SCISSOR,10,2010-12-01 12:15:00,0.85,15983,United Kingdom
536446,85172,HYACINTH BULB T-LIGHT CANDLES,32,2010-12-01 12:15:00,0.42,15983,United Kingdom
536464,22759,SET OF 3 NOTEBOOKS IN PARCEL,1,2010-12-01 12:23:00,1.65,17968,United Kingdom
536464,22813,PACK 3 BOXES BIRD PANNETONE ,2,2010-12-01 12:23:00,1.95,17968,United Kingdom
536502,22423,REGENCY CAKESTAND 3 TIER,2,2010-12-01 12:36:00,12.75,16552,United Kingdom
536520,21123,SET/10 IVORY POLKADOT PARTY CANDLES,1,2010-12-01 12:43:00,1.25,14729,United Kingdom
536520,22642,SET OF 4 NAPKIN CHARMS STARS   ,4,2010-12-01 12:43:00,2.55,14729,United Kingdom
536528,22911,PAPER CHAIN KIT LONDON,1,2010-12-01 13:17:00,2.95,15525,United Kingdom
536528,22454,MEASURING TAPE BABUSHKA RED,1,2010-12-01 13:17:00,2.95,15525,United Kingdom
536532,21874,GIN AND TONIC MUG,24,2010-12-01 13:24:00,1.25,12433,Norway
536532,22962,JAM JAR WITH PINK LID,12,2010-12-01 13:24:00,0.85,12433,Norway
536535,22311,OFFICE MUG WARMER BLACK+SILVER ,6,2010-12-01 13:38:00,2.95,15605,United Kingdom
536539,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-01 14:03:00,1.45,15165,United Kingdom
536540,21833,CAMOUFLAGE LED TORCH,12,2010-12-01 14:05:00,1.69,14911,EIRE
536542,22379,RECYCLING BAG RETROSPOT ,20,2010-12-01 14:11:00,2.10,16456,United Kingdom
536544,22037,ROBOT BIRTHDAY CARD,1,2010-12-01 14:32:00,0.85,,United Kingdom
536544,22837,HOT WATER BOTTLE BABUSHKA ,1,2010-12-01 14:32:00,9.32,,United Kingdom
536544,20685,DOORMAT RED RETROSPOT,1,2010-12-01 14:32:00,14.43,,United Kingdom
536544,22876,NUMBER TILE COTTAGE GARDEN 8,1,2010-12-01 14:32:00,4.21,,United Kingdom
536544,21166,COOK WITH WINE METAL SIGN ,2,2010-12-01 14:32:00,4.21,,United Kingdom
536544,22951,60 CAKE CASES DOLLY GIRL DESIGN,2,2010-12-01 14:32:00,1.28,,United Kingdom
536544,22549,PICTURE DOMINOES,1,2010-12-01 14:32:00,3.36,,United Kingdom
536544,20669,RED HEART LUGGAGE TAG,1,2010-12-01 14:32:00,2.51,,United Kingdom
536544,22384,LUNCH BAG PINK POLKADOT,2,2010-12-01 14:32:00,4.21,,United Kingdom
536544,48188,DOORMAT WELCOME PUPPIES,1,2010-12-01 14:32:00,14.43,,United Kingdom
536544,20676,RED RETROSPOT BOWL,1,2010-12-01 14:32:00,2.51,,United Kingdom
536544,22813,PACK 3 BOXES BIRD PANNETONE ,1,2010-12-01 14:32:00,4.21,,United Kingdom
536544,22588,CARD HOLDER GINGHAM HEART,3,2010-12-01 14:32:00,5.06,,United Kingdom
536551,22310,IVORY KNITTED MUG COSY ,2,2010-12-01 14:34:00,1.65,17346,United Kingdom
536557,22568,FELTCRAFT CUSHION OWL,1,2010-12-01 14:41:00,3.75,17841,United Kingdom
536567,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,12,2010-12-01 15:27:00,1.45,16048,United Kingdom
536569,22660,DOORMAT I LOVE LONDON,1,2010-12-01 15:35:00,7.95,16274,United Kingdom
536569,22496,SET OF 2 ROUND TINS DUTCH CHEESE,1,2010-12-01 15:35:00,2.95,16274,United Kingdom
536573,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2010-12-01 15:45:00,0.65,17025,United Kingdom
536575,84050,PINK HEART SHAPE EGG FRYING PAN,72,2010-12-01 16:01:00,1.25,13777,United Kingdom
536576,20971,PINK BLUE FELT CRAFT TRINKET BOX,144,2010-12-01 16:11:00,1.06,13777,United Kingdom
